"data.expr.anno.ctl"	"data.expr.anno.kdSTAT5"	"data.expr.anno.GENE_SYMBOL"
47.7437466666667	61.0853	"SKP1"
28.6470966666667	33.7088233333333	"DDX11L1"
5.54384606666667	4.65197666666667	"OR4F5"
311.0828	331.5119	"LINC01128"
27.8270166666667	24.2184	"SAMD11"
152.4615	148.589566666667	"KLHL17"
30.3031533333333	17.3392633333333	"PLEKHN1"
537.145833333333	736.9455	"ISG15"
115.925283333333	128.9337	"AGRN"
12.8150096666667	14.874005	"LINC01342"
32.62053	20.4091333333333	"MIR200B"
5.280668	10.496893	"MIR200A"
114.49788	88.51246	"MIR429"
80.1655066666667	98.5460566666667	"TTLL10"
411.560166666667	252.440966666667	"B3GALT6"
43.9412766666667	35.07601	"SCNN1D"
157.3715	188.117066666667	"PUSL1"
77.99873	77.5605933333333	"CPTP"
21.0264366666667	37.977	"TAS1R3"
147.3427	158.574	"MRPL20-AS1"
56.1529833333333	41.7470066666667	"TMEM88B"
29.4569833333333	31.8794066666667	"VWA1"
19.5083556666667	12.4614076666667	"ATAD3C"
13.5567	19.0236633333333	"ATAD3B"
72.0079433333333	83.2717666666667	"ATAD3A"
52.0137633333333	50.9626733333333	"MIB2"
8.97450233333333	11.5224993333333	"MMP23B"
58.0014566666667	40.1574833333333	"MMP23A"
24.74293	20.3964866666667	"CALML6"
38.19607	26.3996066666667	"GABRD"
126.531033333333	92.0955466666667	"PRKCZ"
101.19799	84.4473533333333	"SKI"
694.770866666667	501.830166666667	"RER1"
32.1924666666667	21.1042933333333	"PLCH2"
70.3776333333333	56.4732466666667	"TNFRSF14"
57.1663866666667	34.74735	"PRXL2B"
13.5052666666667	21.6881433333333	"ACTRT2"
35.00638	40.7869666666667	"PRDM16"
35.00638	40.7869666666667	"MIR4251"
1.39066398966667	1.574784276	"PRDM16"
1.39066398966667	1.574784276	"MIR4251"
194.287633333333	148.171066666667	"ARHGEF16"
204.009733333333	223.022133333333	"TPRG1L"
21.59426	16.51035	"TP73"
38.96776	38.5068733333333	"CCDC27"
43.3263333333333	26.0190533333333	"SMIM1"
87.8067033333333	128.310533333333	"DFFB"
30.7462966666667	29.7440933333333	"LINC01134"
49.4817733333333	46.44738	"LINC01346"
13.1742676666667	12.11461	"LINC01777"
13.174154	8.79670566666667	"AJAP1"
95.32494	71.6923666666667	"KCNAB2"
47.5129366666667	53.9616	"RNF207"
26.2565966666667	30.8265433333333	"HES3"
141.76618	127.355233333333	"ESPN"
28.1454866666667	22.8976633333333	"TAS1R1"
109.036476666667	80.3209466666667	"ZBTB48"
138.179366666667	141.2301	"PHF13"
82.4939966666667	93.8736733333333	"THAP3"
861.3422	644.3246	"CAMTA1"
1.576723041	1.07111000966667	"CAMTA1"
47.0692433333333	58.8294166666667	"CAMTA1"
891.759633333333	869.182666666667	"VAMP3"
132.555766666667	95.7825566666667	"PER3"
1649.885	1551.91133333333	"PARK7"
18.5843503333333	22.4060566666667	"SLC45A1"
27.4041133333333	37.1832633333333	"SLC45A1"
115.31674	58.9608566666667	"ENO1-AS1"
10.0120666666667	15.15921	"CA6"
70.4628166666667	33.6750866666667	"H6PD"
53.49991	42.3954266666667	"SPSB1"
448.780333333333	376.6081	"SLC25A33"
32.4328266666667	31.4482	"TMEM201"
72.60902	52.67377	"PIK3CD"
17.9987166666667	30.9621466666667	"NMNAT1"
99.20306	98.0388533333333	"NMNAT1"
18.06356	32.3983666666667	"NMNAT1"
144.429966666667	45.5391966666667	"RBP7"
330.8609	327.851933333333	"UBE4B"
6.727446	12.014302	"UBE4B"
404.3103	293.694033333333	"KIF1B"
436.386466666667	371.5139	"PGD"
223.179833333333	143.514666666667	"CENPS-CORT"
223.179833333333	143.514666666667	"CENPS"
223.179833333333	143.514666666667	"CORT"
83.7488566666667	63.93279	"PEX14"
287.663566666667	437.732333333333	"TARDBP"
57.6651433333333	63.9067066666667	"MTOR-AS1"
23.3995666666667	25.0230766666667	"ANGPTL7"
289.107966666667	216.6926	"UBIAD1"
15.5256033333333	21.3000933333333	"DISP3"
48.7957233333333	38.1698266666667	"FBXO44"
36.8157833333333	41.4268933333333	"FBXO6"
21.4286366666667	19.7698233333333	"DRAXIN"
261.169666666667	116.2404	"AGTRAP"
68.5860833333333	87.76007	"CLCN6"
68.5860833333333	87.76007	"NPPA-AS1"
25.54957	43.6433733333333	"CLCN6"
25.54957	43.6433733333333	"NPPA-AS1"
801.575366666667	455.0204	"PLOD1"
733.0002	737.344666666667	"MFN2"
60.75854	44.4202566666667	"MIIP"
11.7937466666667	5.81289512833333	"TNFRSF8"
22.6447466666667	29.8636433333333	"TNFRSF1B"
22.6447466666667	29.8636433333333	"MIR4632"
153.378266666667	179.165966666667	"VPS13D"
153.378266666667	179.165966666667	"SNORA59B"
174.8073	146.176933333333	"VPS13D"
174.8073	146.176933333333	"SNORA59B"
6.83885066666667	5.63355633333333	"AADACL4"
4.71426766666667	12.0377593333333	"AADACL3"
9.848457	13.33005	"C1orf158"
7.066042	9.07502366666667	"PRAMEF12"
0.104418772666667	2.11018695466667	"PRAMEF1"
6.79742463333333	7.171191	"PRAMEF2"
139.522873333333	88.1276666666667	"PRAMEF22"
20.1884733333333	21.2507633333333	"PRAMEF9"
6.53599866666667	8.91097733333333	"PRAMEF9"
13.3302376666667	14.5188766666667	"PRAMEF9"
13.3302376666667	14.5188766666667	NA
14.509772	8.94573233333333	"PRAMEF9"
14.509772	8.94573233333333	"PRAMEF20"
20.1884733333333	21.2507633333333	"PRAMEF9"
